District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
KIPP DC PCS,District of Columbia,5789,0.01,0.14,12.27,0.944,0
ALACHUA,Florida,29475,0.03,0.13,19.57,0.991,0
BAKER,Florida,5004,0,0.13,16.56,1.04,0
BAY,Florida,28024,0.03,0.18,15.69,1.039,0
BRADFORD,Florida,3225,0,0.22,13.47,1.025,0
BREVARD,Florida,73444,0.04,0.18,15.14,0.97,0
BROWARD,Florida,271852,0.12,0.13,16.58,1.011,0
CALHOUN,Florida,2183,0.01,0.2,12.41,1.046,0
CHARLOTTE,Florida,15923,0.03,0.19,11.33,1.019,0
CITRUS,Florida,15338,0.01,0.12,14.88,1.032,0
CLAY,Florida,37051,0.02,0.2,14.92,0.986,0
COLLIER,Florida,46416,0.15,0.13,15.56,0.997,0
COLUMBIA,Florida,10066,0.01,0.17,14.92,0.989,0
DADE,Florida,357249,0.21,0.1,17.11,1.023,0
DESOTO,Florida,4912,0.09,0.14,16.65,1.07,0
DIXIE,Florida,2147,0,0.21,17.74,1.109,0
DUVAL,Florida,129479,0.05,0.14,17.75,1.02,0
ESCAMBIA,Florida,40386,0.01,0.15,14.79,1.042,0
FLAGLER,Florida,12931,0.03,0.14,16.89,0.999,0
FRANKLIN,Florida,1304,0.03,0.19,14.93,0.909,0
GADSDEN,Florida,5620,0.08,0.14,13.35,1.063,0
GILCHRIST,Florida,2751,0.02,0.18,17.69,1.053,0
GLADES,Florida,1689,0.05,0.19,11.73,1.864,0
GULF,Florida,1960,0.01,0.18,14.95,1.017,0
HAMILTON,Florida,1688,0.1,0.12,15.78,1.02,0
HARDEE,Florida,5260,0.09,0.13,16.41,1.035,0
HENDRY,Florida,7398,0.15,0.15,17.16,1.005,0
HERNANDO,Florida,22293,0.03,0.13,15.53,1.019,0
HIGHLANDS,Florida,12318,0.05,0.15,16.1,1.006,0
HILLSBOROUGH,Florida,214386,0.12,0.14,11.74,1.077,0
HOLMES,Florida,3311,0,0.15,14.33,1.006,0
INDIAN RIVER,Florida,17879,0.05,0.14,16.09,0.987,0
JACKSON,Florida,6738,0.01,0.15,14.34,1.03,0
LAFAYETTE,Florida,1268,0.06,0.15,17.37,0.968,0
LAKE,Florida,42472,0.05,0.15,16.42,0.991,0
LEE,Florida,92686,0.09,0.13,16.12,0.991,0
LEON,Florida,33952,0.02,0.15,16.75,1.047,0
LEVY,Florida,5503,0.05,0.18,16.04,1.048,0
LIBERTY,Florida,1407,0.02,0.2,12.03,1.002,0
MADISON,Florida,2759,0.01,0.18,15.81,0.93,0
MANATEE,Florida,48884,0.13,0.16,11.4,0.939,0
MARION,Florida,43032,0.06,0.15,15.82,0.998,0
MARTIN,Florida,19026,0.15,0.16,15.54,0.962,0
MONROE,Florida,8571,0.11,0.16,13.39,0.871,0
NASSAU,Florida,11546,0.01,0.14,16.59,0.997,0
OKALOOSA,Florida,31093,0.03,0.15,16.65,1.033,0
OKEECHOBEE,Florida,6494,0.14,0.2,15.33,1.001,0
ORANGE,Florida,200674,0.14,0.11,16.08,0.979,0
OSCEOLA,Florida,63031,0.2,0.11,16.32,0.975,0
PALM BEACH,Florida,192721,0.13,0.16,15.18,0.997,0
PASCO,Florida,72493,0.04,0.16,11.77,1.046,0
PINELLAS,Florida,102905,0.06,0.13,15.08,1.056,0
POLK,Florida,102295,0.11,0.12,15.18,0.994,0
PUTNAM,Florida,11255,0.06,0.17,15.98,1.024,0
SANTA ROSA,Florida,27473,0.01,0.13,15.39,0.999,0
SARASOTA,Florida,42810,0.07,0.16,13.85,1.045,0
SEMINOLE,Florida,67808,0.05,0.14,13.55,0.994,0
ST. JOHNS,Florida,38550,0.01,0.15,14.05,0.989,0
ST. LUCIE,Florida,40383,0.09,0.12,16.77,0.959,0
SUMTER,Florida,8604,0.03,0.14,15.78,1.001,0
SUWANNEE,Florida,6056,0.06,0.12,15.9,1.05,0
TAYLOR,Florida,2808,0,0.16,14.47,1.118,0
UNION,Florida,2340,0,0.17,14.05,1.013,0
VOLUSIA,Florida,63028,0.07,0.17,15.28,0.968,0
WAKULLA,Florida,5178,0,0.21,16.49,1.014,0
WALTON,Florida,9172,0.04,0.1,15.53,0.983,0
WASHINGTON,Florida,3234,0.01,0.18,12.2,1.316,0
APPLING COUNTY,Georgia,3613,0.06,0.14,14.87,1.029,0
ATKINSON COUNTY,Georgia,1736,0.13,0.11,15.27,0.979,0
ATLANTA PUBLIC SCHOOLS,Georgia,51927,0.04,0.1,13.38,1.055,0
BACON COUNTY,Georgia,2114,0.06,0.17,14.72,1.272,0
BALDWIN COUNTY,Georgia,5506,0.01,0.1,15.91,0.879,0
BANKS COUNTY,Georgia,2781,0.03,0.15,13.76,0.935,0
BARROW COUNTY,Georgia,13568,0.07,0.14,14.49,1.001,0
BARTOW COUNTY,Georgia,13768,0.05,0.12,14.78,0.952,0
BEN HILL COUNTY,Georgia,3252,0.03,0.14,14.82,0.954,0
BERRIEN COUNTY,Georgia,3149,0.02,0.13,15.3,0.935,0
BIBB COUNTY,Georgia,23988,0.02,0.1,15.81,1.083,0
BLECKLEY COUNTY,Georgia,2516,0,0.15,15.12,0.96,0
BRANTLEY COUNTY,Georgia,3496,0,0.12,14.95,0.959,0
BREMEN CITY,Georgia,2278,0,0.09,16.74,1.008,0
BROOKS COUNTY,Georgia,2129,0.04,0.12,14.95,0.915,0
BRYAN COUNTY,Georgia,8941,0.01,0.1,16.56,1.12,0
BUFORD CITY,Georgia,4597,0.12,0.1,16.45,1.094,0
BULLOCH COUNTY,Georgia,10547,0.03,0.14,16.13,0.892,0
BURKE COUNTY,Georgia,4283,0.01,0.11,13.14,0.883,0
BUTTS COUNTY,Georgia,3444,0.01,0.11,15.56,0.907,0
CALHOUN CITY,Georgia,4081,0.12,0.08,18.45,0.973,0
CAMDEN COUNTY,Georgia,9199,0.01,0.13,16.41,1.007,0
CANDLER COUNTY,Georgia,2193,0.03,0.13,16.93,0.947,0
CARROLL COUNTY,Georgia,14904,0.02,0.14,15.84,0.948,0
CARROLLTON CITY,Georgia,5053,0.06,0.1,16.84,0.966,0
CARTERSVILLE CITY,Georgia,4402,0.08,0.09,16.62,0.889,0
CATOOSA COUNTY,Georgia,10690,0.01,0.18,14.44,0.944,0
CHARLTON COUNTY,Georgia,1689,0.01,0.1,15.89,0.94,0
CHATHAM COUNTY,Georgia,38047,0.03,0.11,13.91,1.001,0
CHATTOOGA COUNTY,Georgia,2839,0.02,0.18,15.24,1.161,0
CHEROKEE COUNTY,Georgia,41916,0.06,0.12,15.56,1.07,0
CHICKAMAUGA CITY,Georgia,1300,0,0.06,16.46,0.953,0
CLARKE COUNTY,Georgia,13447,0.1,0.13,12.42,1.072,0
CLAYTON COUNTY,Georgia,54345,0.09,0.11,17.08,0.963,0
CLINCH COUNTY,Georgia,1387,0.01,0.12,15.91,1.181,0
COBB COUNTY,Georgia,113151,0.1,0.13,15.37,1.012,0
COFFEE COUNTY,Georgia,7704,0.06,0.09,15.86,1.007,0
COLQUITT COUNTY,Georgia,9697,0.13,0.12,14.84,1.105,0
COLUMBIA COUNTY,Georgia,26914,0.02,0.08,16.95,0.965,0
COMMERCE CITY,Georgia,1585,0.05,0.13,14.65,0.853,0
COOK COUNTY,Georgia,3243,0.03,0.13,15.19,0.963,0
COWETA COUNTY,Georgia,22567,0.02,0.1,15.72,1.012,0
CRAWFORD COUNTY,Georgia,1665,0.01,0.16,15.75,0.949,0
CRISP COUNTY,Georgia,4183,0.02,0.13,15.72,1.002,0
DADE COUNTY,Georgia,2190,0.01,0.19,14.83,0.989,0
DALTON CITY,Georgia,8148,0.17,0.09,14.78,0.928,0
DAWSON COUNTY,Georgia,3437,0.03,0.15,14.17,0.977,0
DECATUR CITY,Georgia,5230,0.02,0.08,14.72,1.006,0
DECATUR COUNTY,Georgia,5253,0.04,0.11,16.03,1.009,0
DEKALB COUNTY,Georgia,101284,0.15,0.1,14.73,0.906,0
DODGE COUNTY,Georgia,3186,0.02,0.14,15.05,1.008,0
DOOLY COUNTY,Georgia,1325,0.09,0.1,16.48,1.089,0
DOUGHERTY COUNTY,Georgia,14946,0.02,0.1,15.37,1.03,0
DOUGLAS COUNTY,Georgia,26297,0.06,0.13,15.95,1.051,0
DUBLIN CITY,Georgia,2512,0.01,0.11,15.48,1.004,0
EARLY COUNTY,Georgia,2158,0,0.14,12.55,0.982,0
EFFINGHAM COUNTY,Georgia,11988,0.01,0.17,15.1,0.974,0
ELBERT COUNTY,Georgia,3083,0.03,0.11,15.79,1.027,0
EMANUEL COUNTY,Georgia,4392,0.02,0.13,15.3,0.96,0
EVANS COUNTY,Georgia,1857,0.11,0.11,14.9,1.049,0
FANNIN COUNTY,Georgia,2923,0.02,0.13,13.77,0.915,0
FAYETTE COUNTY,Georgia,20115,0.04,0.1,14.59,0.968,0
FLOYD COUNTY,Georgia,9949,0.04,0.15,14.72,1.045,0
FORSYTH COUNTY,Georgia,46238,0.06,0.12,16.69,1.018,0
FRANKLIN COUNTY,Georgia,3700,0.03,0.13,15.33,0.963,0
FULTON COUNTY,Georgia,96122,0.07,0.1,14.98,1.054,0
GAINESVILLE CITY,Georgia,7964,0.3,0.09,15.46,0.919,0
GILMER COUNTY,Georgia,4175,0.14,0.09,15.64,1.053,0
GLYNN COUNTY,Georgia,13376,0.05,0.13,15.62,0.888,0
GORDON COUNTY,Georgia,6677,0.05,0.11,14.85,0.917,0
GRADY COUNTY,Georgia,4681,0.08,0.1,15.28,0.95,0
GREENE COUNTY,Georgia,2476,0.04,0.11,12.96,0.952,0
GWINNETT COUNTY,Georgia,178214,0.13,0.12,16.02,1.018,0
HABERSHAM COUNTY,Georgia,6883,0.13,0.17,13.92,0.959,0
HALL COUNTY,Georgia,27229,0.18,0.12,15.88,0.941,0
HARALSON COUNTY,Georgia,3484,0,0.16,13.66,0.973,0
HARRIS COUNTY,Georgia,5275,0,0.1,16.3,0.934,0
HART COUNTY,Georgia,3480,0.02,0.12,15.13,0.895,0
HEARD COUNTY,Georgia,2054,0,0.14,14.54,0.865,0
HENRY COUNTY,Georgia,41930,0.02,0.13,15.27,0.97,0
HOUSTON COUNTY,Georgia,29003,0.03,0.12,15.27,0.966,0
IRWIN COUNTY,Georgia,1760,0,0.18,13.35,0.978,0
JACKSON COUNTY,Georgia,7568,0.04,0.13,15.84,0.965,0
JASPER COUNTY,Georgia,2422,0.02,0.11,15.43,0.982,0
JEFF DAVIS COUNTY,Georgia,3143,0.09,0.12,16.15,1,0
JEFFERSON CITY,Georgia,3620,0.02,0.11,16.18,1.089,0
JEFFERSON COUNTY,Georgia,2685,0.02,0.13,13.96,0.998,0
JENKINS COUNTY,Georgia,1172,0.03,0.09,12.13,1.023,0
JOHNSON COUNTY,Georgia,1166,0,0.13,15.14,1.035,0
JONES COUNTY,Georgia,5370,0,0.13,14.56,1.019,0
LAMAR COUNTY,Georgia,2736,0.01,0.11,16.89,0.924,0
LANIER COUNTY,Georgia,1773,0.01,0.12,13.96,1.029,0
LAURENS COUNTY,Georgia,6484,0.01,0.09,15.59,0.978,0
LEE COUNTY,Georgia,6447,0.02,0.09,16.94,1.004,0
LIBERTY COUNTY,Georgia,10020,0.01,0.12,16.09,1.029,0
LONG COUNTY,Georgia,3582,0.05,0.12,16.97,0.958,0
LOWNDES COUNTY,Georgia,10681,0.02,0.13,15.73,0.907,0
LUMPKIN COUNTY,Georgia,3822,0.02,0.14,15.59,0.925,0
MACON COUNTY,Georgia,1437,0.03,0.11,17.21,1.004,0
MADISON COUNTY,Georgia,4903,0.04,0.17,14.17,1.102,0
MARIETTA CITY,Georgia,8932,0.16,0.1,14.08,1.023,0
MARION COUNTY,Georgia,1458,0.03,0.1,16.89,1.075,0
MCDUFFIE COUNTY,Georgia,4133,0.01,0.14,15.01,1.028,0
MCINTOSH COUNTY,Georgia,1416,0,0.13,14.72,1.005,0
MERIWETHER COUNTY,Georgia,2813,0.01,0.19,13.5,0.978,0
MILLER COUNTY,Georgia,1036,0.02,0.12,15.08,0.959,0
MITCHELL COUNTY,Georgia,2412,0.02,0.1,13.08,0.979,0
MONROE COUNTY,Georgia,4054,0.01,0.12,15.18,0.979,0
MORGAN COUNTY,Georgia,3152,0.01,0.11,13.57,0.977,0
MURRAY COUNTY,Georgia,7471,0.08,0.1,16.94,0.945,0
MUSCOGEE COUNTY,Georgia,31590,0.03,0.14,16.2,0.93,0
NEWTON COUNTY,Georgia,19682,0.03,0.13,15.06,0.947,0
OCONEE COUNTY,Georgia,7503,0.03,0.11,16.1,0.919,0
OGLETHORPE COUNTY,Georgia,2112,0.04,0.13,13.39,1.031,0
PAULDING COUNTY,Georgia,29018,0.02,0.13,16.1,0.972,0
PEACH COUNTY,Georgia,3639,0.05,0.14,15.74,0.907,0
PELHAM CITY,Georgia,1482,0.02,0.12,14.62,0.955,0
PICKENS COUNTY,Georgia,4403,0.01,0.15,15.31,0.921,0
PIERCE COUNTY,Georgia,3656,0.03,0.11,15.31,1,0
PIKE COUNTY,Georgia,3328,0,0.09,16.69,0.973,0
POLK COUNTY,Georgia,7780,0.07,0.14,15.45,0.972,0
PULASKI COUNTY,Georgia,1373,0.03,0.12,15.01,0.933,0
PUTNAM COUNTY,Georgia,2965,0.05,0.16,13.42,0.903,0
RABUN COUNTY,Georgia,2255,0.05,0.13,13.47,0.864,0
RICHMOND COUNTY,Georgia,31159,0.01,0.11,16.18,1.032,0
ROCKDALE COUNTY,Georgia,16561,0.04,0.11,13.98,1.051,0
ROME CITY,Georgia,6284,0.12,0.11,15.18,1.108,0
SCREVEN COUNTY,Georgia,2328,0.01,0.18,14.33,0.952,0
SEMINOLE COUNTY,Georgia,1538,0.01,0.07,14.56,1.041,0
SOCIAL CIRCLE CITY,Georgia,1732,0,0.11,15.62,1.057,0
SPALDING COUNTY,Georgia,10305,0.03,0.11,15.26,0.992,0
STATE CHARTER SCHOOLS- GEORGIA CONNECTIONS ACADEMY,Georgia,3987,0.01,0.1,38.19,1,0
STATE CHARTER SCHOOLS- GEORGIA CYBER ACADEMY,GEORGIA,14319,0.01,0.13,39.89,0.996,0
STATE CHARTER SCHOOLS- MOUNTAIN EDUCATION CENTER SCHOOL,Georgia,1926,0.04,0.15,24.69,0.791,0
STATE CHARTER SCHOOLS- PROVOST ACADEMY GEORGIA,Georgia,1492,0.02,0.11,29.84,1.262,0
STEPHENS COUNTY,Georgia,4087,0.01,0.15,15.39,0.801,0
SUMTER COUNTY,Georgia,4700,0.05,0.12,15,0.994,0
TATTNALL COUNTY,Georgia,3762,0.06,0.13,14.95,0.96,0
TAYLOR COUNTY,Georgia,1462,0,0.11,14.22,0.949,0
TELFAIR COUNTY,Georgia,1741,0.02,0.09,15,1.148,0
TERRELL COUNTY,Georgia,1419,0.01,0.13,16.81,1.012,0
THOMAS COUNTY,Georgia,5847,0.01,0.16,14.75,0.999,0
THOMASTON-UPSON COUNTY,Georgia,4180,0.01,0.12,15.22,0.98,0
THOMASVILLE CITY,Georgia,2935,0,0.1,15.04,0.979,0
TIFT COUNTY,Georgia,7763,0.07,0.11,14.68,1.02,0
TOOMBS COUNTY,Georgia,3022,0.09,0.13,14.21,1.361,0
TOWNS COUNTY,Georgia,1011,0.01,0.12,12.21,0.96,0
TREUTLEN COUNTY,Georgia,1172,0.01,0.12,14.97,0.96,0
TRION CITY,Georgia,1401,0.04,0.08,15.58,0.962,0
TROUP COUNTY,Georgia,12368,0.03,0.09,15.56,1.023,0
TURNER COUNTY,Georgia,1355,0.02,0.14,16.15,1.027,0
UNION COUNTY,Georgia,2855,0.01,0.14,13.84,1.104,0
VALDOSTA CITY,Georgia,8135,0.03,0.12,15.76,1.014,0
VIDALIA CITY,Georgia,2534,0.02,0.12,14.64,0.965,0
WALKER COUNTY,Georgia,8943,0.01,0.17,12.9,1.019,0
WALTON COUNTY,Georgia,14056,0.02,0.1,16.81,1.075,0
WARE COUNTY,Georgia,6176,0.02,0.16,14.86,0.966,0
WASHINGTON COUNTY,Georgia,3112,0.01,0.11,15.72,1.102,0
WAYNE COUNTY,Georgia,5524,0.02,0.14,15.56,0.936,0
WHEELER COUNTY,Georgia,1009,0.03,0.13,13.17,0.92,0
WHITE COUNTY,Georgia,3819,0.02,0.13,14.8,0.969,0
WHITFIELD COUNTY,Georgia,13186,0.13,0.13,15.15,0.903,0
WILCOX COUNTY,Georgia,1212,0.01,0.11,14.91,0.991,0
WILKES COUNTY,Georgia,1577,0.02,0.12,13.39,0.997,0
WILKINSON COUNTY,Georgia,1452,0.02,0.1,15,0.938,0
WORTH COUNTY,Georgia,3329,0.01,0.09,15.72,0.975,0
HAWAII DEPARTMENT OF EDUCATION,Hawaii,181550,0.07,0.11,15.41,0.932,0
AMERICAN FALLS JOINT DISTRICT,Idaho,1478,0.23,0.08,16.55,0.942,0
BEAR LAKE COUNTY DISTRICT,Idaho,1169,0,0.13,18.49,0.956,0
BLACKFOOT DISTRICT,Idaho,3913,0.09,0.11,19.09,0.988,0
BLAINE COUNTY DISTRICT,Idaho,3320,0.18,0.11,11.95,0.972,0
BOISE INDEPENDENT DISTRICT,Idaho,26263,0.08,0.12,16.95,0.943,0
BONNEVILLE JOINT DISTRICT,Idaho,12168,0.04,0.1,20.48,0.954,0
BOUNDARY COUNTY DISTRICT,Idaho,1446,0.01,0.14,17.16,0.992,0
BUHL JOINT DISTRICT,Idaho,1336,0.15,0.1,17.85,0.915,0
CALDWELL DISTRICT,Idaho,6397,0.16,0.11,18.72,0.914,0
CASSIA COUNTY JOINT DISTRICT,Idaho,5447,0.12,0.1,18.35,0.919,0
COEUR D'ALENE DISTRICT,Idaho,10651,0,0.09,19.83,1.028,0
EMMETT INDEPENDENT DIST,Idaho,2553,0.04,0.13,18.09,0.973,0
FILER DISTRICT,Idaho,1650,0.02,0.11,17.8,0.925,0
FREMONT COUNTY JOINT DISTRICT,Idaho,2200,0.07,0.09,17.62,0.937,0
FRUITLAND DISTRICT,Idaho,1768,0.06,0.11,19.53,0.903,0
GOODING JOINT DISTRICT,Idaho,1333,0.1,0.11,19.4,0.926,0
HOMEDALE JOINT DISTRICT,Idaho,1178,0.12,0.09,18.35,0.943,0
IDAHO FALLS DISTRICT,Idaho,10230,0.06,0.11,19.69,0.92,0
IDAHO VIRTUAL ACADEMY INC.,Idaho,2042,0,0.12,33.24,1,0
JEFFERSON COUNTY JOINT DISTRICT,Idaho,5533,0.05,0.08,21.22,0.883,0
JEROME JOINT DISTRICT,Idaho,3955,0.18,0.1,19,0.908,0
JOINT SCHOOL DISTRICT NO. 2,Idaho,38406,0.03,0.1,19.64,0.911,0
KELLOGG JOINT DISTRICT,Idaho,1107,0,0.17,17.36,0.959,0
KIMBERLY DISTRICT,Idaho,1908,0.03,0.07,19.49,1,0
KUNA JOINT DISTRICT,Idaho,5306,0.02,0.11,19.34,0.911,0
LAKE PEND OREILLE SCHOOL DISTRICT,Idaho,3628,0.01,0.12,17.25,0.999,0
LAKELAND DISTRICT,Idaho,4358,0,0.11,18.7,0.976,0
LEWISTON INDEPENDENT DISTRICT,Idaho,4746,0,0.11,16.76,0.983,0
MADISON DISTRICT,Idaho,5360,0.04,0.1,20.37,0.888,0
MCCALL-DONNELLY JOINT SCHOOL DISTRICT,Idaho,1111,0.02,0.12,13.99,0.891,0
MIDDLETON DISTRICT,Idaho,3910,0.02,0.09,19.79,0.906,0
MINIDOKA COUNTY JOINT DISTRICT,Idaho,4223,0.09,0.11,17.23,0.899,0
MOSCOW DISTRICT,Idaho,2517,0.02,0.11,15.68,1.069,0
MOUNTAIN HOME DISTRICT,Idaho,3867,0.05,0.11,19.74,0.971,0
MOUNTAIN VIEW SCHOOL DISTRICT,Idaho,1246,0,0.13,16.17,0.999,0
NAMPA SCHOOL DISTRICT,Idaho,15498,0.09,0.1,18.53,0.894,0
ONEIDA COUNTY DISTRICT,Idaho,1101,0,0.09,20.77,0.902,0
OROFINO JOINT DISTRICT,Idaho,1127,0,0.13,14.66,1.028,0
PARMA DISTRICT,Idaho,1090,0.07,0.11,18.47,0.895,0
PAYETTE JOINT DISTRICT,Idaho,1531,0.1,0.11,17.52,0.915,0
POCATELLO DISTRICT,Idaho,12386,0.01,0.11,20.24,0.972,0
POST FALLS DISTRICT,Idaho,5812,0,0.1,19.5,0.921,0
PRESTON JOINT DISTRICT,Idaho,2492,0.03,0.1,19.05,0.99,0
SHELLEY JOINT DISTRICT,Idaho,2281,0.04,0.1,20.71,0.927,0
SNAKE RIVER DISTRICT,Idaho,1771,0.08,0.09,18.76,0.92,0
SUGAR-SALEM JOINT DISTRICT,Idaho,1604,0.02,0.08,19.06,0.836,0
TETON COUNTY DISTRICT,Idaho,1747,0.13,0.11,17.29,0.843,0
TWIN FALLS DISTRICT,Idaho,9191,0.07,0.1,18.56,0.91,0
VALLIVUE SCHOOL DISTRICT,Idaho,8798,0.09,0.1,20.12,0.938,0
WEISER DISTRICT,Idaho,1570,0.09,0.11,18.95,0.953,0
WENDELL DISTRICT,Idaho,1149,0.29,0.12,17.08,0.878,0
ADDISON SD 4,Illinois,4201,0.31,0.17,15.26,0.935,0
ADLAI E STEVENSON HSD 125,Illinois,4085,0.02,0.1,14.17,0.921,0
ALSIP-HAZLGRN-OAKLWN SD 126,Illinois,1640,0.11,0.16,15.32,0.905,0
ALTON CUSD 11,Illinois,6456,0,0.2,15.43,1.106,0
ANTIOCH CCSD 34,Illinois,2950,0.03,0.13,15.61,1,0
APTAKISIC-TRIPP CCSD 102,Illinois,2280,0.21,0.13,13.86,0.985,0
ARBOR PARK SD 145,Illinois,1366,0.12,0.15,17.29,0.978,0
ARGENTA-OREANA CUSD 1,Illinois,1036,0,0.13,15.82,0.95,0
ARGO CHSD 217,Illinois,1897,0.08,0.13,15.18,0.97,0
ARLINGTON HEIGHTS SD 25,Illinois,5601,0.09,0.15,14.56,1.049,0
ARTHUR CUSD 305,Illinois,1236,0.01,0.18,11.77,1.135,0
ATHENS CUSD 213,Illinois,1115,0,0.16,15.38,0.975,0
AURORA EAST USD 131,Illinois,14605,0.33,0.13,16.85,1.006,0
AURORA WEST USD 129,Illinois,12611,0.18,0.14,16.34,0.964,0
BALL CHATHAM CUSD 5,Illinois,4747,0.02,0.1,19.14,1.074,0
BARRINGTON CUSD 220,Illinois,8805,0.06,0.17,14.9,0.966,0
BATAVIA USD 101,Illinois,6003,0.04,0.14,16.08,0.943,0
BEACH PARK CCSD 3,Illinois,2288,0.16,0.16,15.45,0.917,0
BEARDSTOWN CUSD 15,Illinois,1558,0.32,0.16,15.18,0.915,0
BEECHER CUSD 200U,Illinois,1048,0.03,0.16,16.38,0.888,0
BELLEVILLE SD 118,Illinois,3881,0,0.23,17.77,1.049,0
BELLEVILLE TWP HSD 201,Illinois,4886,0,0.19,18.48,1.054,0
BELLWOOD SD 88,Illinois,2608,0.24,0.14,13.72,0.952,0
BELVIDERE CUSD 100,Illinois,8221,0.13,0.16,16.57,0.927,0
BENSENVILLE SD 2,Illinois,2188,0.33,0.15,13.4,0.988,0
BENTON CCSD 47,Illinois,1108,0.01,0.19,17.34,1.041,0
BERKELEY SD 87,Illinois,2725,0.32,0.17,17.01,0.986,0
BERWYN NORTH SD 98,Illinois,3110,0.25,0.17,16.09,1.001,0
BERWYN SOUTH SD 100,Illinois,3842,0.23,0.14,13.31,1.028,0
BETHALTO CUSD 8,Illinois,2516,0.01,0.16,16.83,0.91,0
BIG HOLLOW SD 38,Illinois,1803,0.07,0.14,18.3,0.972,0
BLOOM TWP HSD 206,Illinois,3092,0.09,0.18,17.45,0.913,0
BLOOMINGDALE SD 13,Illinois,1297,0.02,0.13,13.8,0.95,0
BLOOMINGTON SD 87,Illinois,5421,0.06,0.15,15.57,0.983,0
BOND COUNTY CUSD 2,Illinois,1863,0,0.2,15.82,1.008,0
BOURBONNAIS SD 53,Illinois,2407,0.02,0.15,16.65,1.012,0
BRADLEY BOURBONNAIS CHSD 307,Illinois,2112,0.01,0.14,18.11,0.906,0
BRADLEY SD 61,Illinois,1543,0.05,0.18,15.13,1.014,0
BREMEN CHSD 228,Illinois,5170,0.03,0.16,17.13,0.959,0
BROOKFIELD LAGRANGE PARK SD 95,Illinois,1189,0.03,0.1,14.72,0.992,0
BROOKWOOD SD 167,Illinois,1183,0.08,0.12,14.49,1.056,0
BURBANK SD 111,Illinois,3590,0.32,0.14,15.93,0.906,0
BUREAU VALLEY CUSD 340,Illinois,1129,0,0.21,13.47,0.961,0
BYRON CUSD 226,Illinois,1509,0,0.16,13.9,0.954,0
CAHOKIA CUSD 187,Illinois,3422,0.01,0.25,17.11,0.952,0
CALUMET CITY SD 155,Illinois,1118,0.15,0.17,14.15,1.045,0
CALUMET PUBLIC SD 132,Illinois,1134,0.08,0.12,17.14,0.904,0
CANTON UNION SD 66,Illinois,2594,0,0.18,15.54,0.859,0
CARBONDALE CHSD 165,Illinois,1025,0.03,0.16,14.88,0.921,0
CARBONDALE ESD 95,Illinois,1515,0.1,0.14,13.43,0.959,0
CARLINVILLE CUSD 1,Illinois,1500,0,0.18,16.43,1.04,0
CARLYLE CUSD 1,Illinois,1128,0,0.19,15.24,0.996,0
CARMI-WHITE COUNTY CUSD 5,Illinois,1432,0,0.19,15.81,0.924,0
CARTERVILLE CUSD 5,Illinois,2139,0,0.15,17.97,0.982,0
CARY CCSD 26,Illinois,2426,0.08,0.17,15.62,0.866,0
CCSD 146,Illinois,2430,0.07,0.16,13.31,0.949,0
CCSD 168,Illinois,1417,0.03,0.16,12.54,1.028,0
CCSD 62,Illinois,4709,0.28,0.18,12.35,0.9,0
CCSD 89,Illinois,2195,0.09,0.12,15.9,0.943,0
CCSD 93,Illinois,3839,0.16,0.14,12.98,0.978,0
CENTER CASS SD 66,Illinois,1024,0.04,0.11,14.4,0.981,0
CENTRAL CUSD 301,Illinois,4070,0.06,0.12,16.29,0.888,0
CENTRAL SD 51,Illinois,1363,0.01,0.11,18.5,0.98,0
CENTRALIA SD 135,Illinois,1377,0,0.29,14.89,1.06,0
CHAMPAIGN CUSD 4,Illinois,10179,0.09,0.14,13.77,1.014,0
CHANNAHON SD 17,Illinois,1237,0.02,0.11,14.25,0.692,0
CHARLESTON CUSD 1,Illinois,2815,0,0.2,17.27,1.141,0
CHICAGO HEIGHTS SD 170,Illinois,3237,0.24,0.15,13.66,1.021,0
CHICAGO RIDGE SD 127-5,Illinois,1488,0.25,0.16,14.81,0.924,0
CHSD 117,Illinois,2718,0,0.13,15.98,0.932,0
CHSD 128,Illinois,3347,0.01,0.11,14.02,0.986,0
CHSD 155,Illinois,6288,0.01,0.12,17.14,1.099,0
CHSD 218,Illinois,5321,0.05,0.17,14.67,1.025,0
CHSD 94,Illinois,2079,0.13,0.13,17.14,1.027,0
CHSD 99,Illinois,4923,0.02,0.13,14.93,0.945,0
CICERO SD 99,Illinois,12122,0.48,0.12,15.69,0.913,0
CITY OF CHICAGO SD 299,Illinois,378199,0.16,0.14,19.89,1.15,0
CLINTON CUSD 15,Illinois,1963,0.01,0.18,15.46,1.004,0
COAL CITY CUSD 1,Illinois,2195,0.01,0.14,16.26,0.947,0
COLLINSVILLE CUSD 10,Illinois,6505,0.08,0.16,15.29,0.965,0
COLUMBIA CUSD 4,Illinois,1994,0,0.1,18.5,0.876,0
COMM CONS SD 59,Illinois,6891,0.32,0.14,14.33,1.058,0
CONS HSD 230,Illinois,7586,0.04,0.13,16.02,0.947,0
COOK COUNTY SD 130,Illinois,3709,0.2,0.17,13.94,0.985,0
COUNTRY CLUB HILLS SD 160,Illinois,1238,0.02,0.14,15.46,1.024,0
COUNTY OF WINNEBAGO SD 320,Illinois,1047,0.05,0.13,15.88,0.923,0
