District,State,Students,ELL_Percent,IEP_Percent,Pupil_Teacher_Ratio,Exp_Rev_Ratio,Strike
IRVINE UNIFIED,California,33381,0.19,0.09,27.2,1.412,0
JEFFERSON ELEMENTARY,California,7039,0.41,0.1,21.91,0.874,0
JEFFERSON ELEMENTARY,California,2317,0.18,0.09,21.75,1.713,0
JEFFERSON UNION HIGH,California,4862,0.13,0.11,22.48,1.15,0
JOHN SWETT UNIFIED,California,1714,0.16,0.15,20.85,1.018,0
JULIAN UNION ELEMENTARY,California,4367,0.01,0.13,22.78,0.969,0
JURUPA UNIFIED,California,19194,0.33,0.12,23.06,0.96,0
KELSEYVILLE UNIFIED,California,1724,0.15,0.12,18.48,1.014,0
KENTFIELD ELEMENTARY,California,1257,0.06,0.1,18.22,0.951,0
KEPPEL UNION ELEMENTARY,California,2628,0.32,0.16,24.19,0.975,0
KERMAN UNIFIED,California,5134,0.37,0.11,24.56,0.96,0
KERN COUNTY OFFICE OF EDUCATION,California,4389,0.07,0.03,17.56,0.925,0
KERN HIGH,California,38705,0.07,0.1,25.81,0.972,0
KEYES UNION,California,1140,0.31,0.11,22.41,0.996,0
KING CITY UNION,California,2681,0.61,0.17,21.82,1.027,0
KINGS CANYON JOINT UNIFIED,California,9844,0.3,0.08,24.91,1.013,0
KINGSBURG JOINT UNION HIGH,California,1160,0.06,0.09,19.89,0.862,0
KONOCTI UNIFIED,California,3365,0.21,0.13,22.87,1.009,0
LA CANADA UNIFIED,California,4132,0.05,0.08,24.05,0.981,0
LA HABRA CITY ELEMENTARY,California,4726,0.33,0.13,25.8,1.017,0
LA MESA-SPRING VALLEY,California,12289,0.19,0.14,26.07,0.96,0
LAFAYETTE ELEMENTARY,California,3615,0.02,0.1,24.18,1.009,0
LAGUNA BEACH UNIFIED,California,3025,0.04,0.12,21.76,0.963,0
LAKE ELSINORE UNIFIED,California,22039,0.16,0.13,23.69,0.947,0
LAKE TAHOE UNIFIED,California,3951,0.26,0.13,20.36,1,0
LAKEPORT UNIFIED,California,1534,0.08,0.14,22.08,1.011,0
LAKESIDE UNION,California,1374,0.16,0.14,23.47,1.009,0
LAKESIDE UNION ELEMENTARY,California,6313,0.05,0.13,24.95,1.139,0
LAMONT ELEMENTARY,California,3075,0.62,0.08,26.61,1.042,0
LANCASTER ELEMENTARY,California,15213,0.17,0.14,24.78,0.992,0
LARKSPUR-CORTE MADERA,California,1523,0.03,0.11,20.94,1.441,0
LAS LOMITAS ELEMENTARY,California,1386,0.07,0.11,19.31,0.861,0
LAS VIRGENES UNIFIED,California,11547,0.08,0.11,24.13,0.962,0
LAWNDALE ELEMENTARY,California,6028,0.35,0.12,22.72,0.995,0
LEMON GROVE,California,3797,0.29,0.13,24.67,0.971,0
LEMOORE UNION ELEMENTARY,California,3249,0.18,0.1,22.25,1.018,0
LEMOORE UNION HIGH,California,2184,0.08,0.13,20.23,0.9,0
LENNOX,California,7217,0.39,0.12,21.56,1.163,0
LIBERTY ELEMENTARY,California,1123,0.03,0.1,20.35,0.69,0
LIBERTY UNION HIGH,California,8199,0.07,0.14,22.58,1.05,0
LINCOLN UNIFIED,California,9438,0.15,0.13,23.37,1.035,0
LINDEN UNIFIED,California,2214,0.23,0.15,22.09,0.953,0
LINDSAY UNIFIED,California,4191,0.52,0.07,23.79,1.024,0
LITTLE LAKE CITY ELEMENTARY,California,4454,0.18,0.11,22.81,1.109,0
LIVE OAK ELEMENTARY,California,2069,0.31,0.13,22.84,0.911,0
LIVE OAK UNIFIED,California,1806,0.2,0.13,20.71,1.007,0
LIVERMORE VALLEY JOINT UNIFIED,California,14016,0.12,0.13,23.12,0.953,0
LIVINGSTON UNION,California,2522,0.5,0.09,23.46,0.95,0
LODI UNIFIED,California,30797,0.24,0.14,22.76,1.006,0
LOMPOC UNIFIED,California,10139,0.23,0.12,21.83,1.015,0
LONG BEACH UNIFIED,California,76428,0.2,0.13,25.98,1.066,0
LOOMIS UNION ELEMENTARY,California,4193,0.02,0.07,22.92,0.889,0
LOS ALAMITOS UNIFIED,California,9904,0.02,0.09,26.22,1.228,0
LOS ALTOS ELEMENTARY,California,4527,0.13,0.09,22.25,0.953,0
LOS ANGELES COUNTY OFFICE OF EDUCATION,California,6937,0.08,0.04,10.14,0.982,0
LOS ANGELES UNIFIED,California,633621,0.21,0.14,22.56,0.991,1
LOS BANOS UNIFIED,California,10785,0.28,0.13,25.38,1.026,0
LOS GATOS UNION ELEMENTARY,California,3263,0.03,0.08,22.57,0.933,0
LOS GATOS-SARATOGA JOINT UNION HIGH,California,3368,0.01,0.11,20.8,0.89,0
LOS NIETOS,California,1645,0.31,0.17,21.59,0.981,0
LOWELL JOINT,California,3153,0.08,0.13,26.43,0.988,0
LUCERNE VALLEY UNIFIED,California,2638,0.03,0.1,22.59,0.793,0
LUCIA MAR UNIFIED,California,10649,0.13,0.14,21.5,1.034,0
LYNWOOD UNIFIED,California,14497,0.34,0.12,23.78,1.057,0
MADERA UNIFIED,California,20779,0.29,0.1,24.85,0.969,0
MAGNOLIA ELEMENTARY,California,6277,0.52,0.1,25.99,1.05,0
MAMMOTH UNIFIED,California,1213,0.19,0.08,19.55,1.023,0
MANHATTAN BEACH UNIFIED,California,6776,0.02,0.13,25.66,1.07,0
MANTECA UNIFIED,California,23441,0.24,0.15,24.38,1.021,0
MARCUM-ILLINOIS UNION ELEMENTARY,California,2415,0.01,0.07,23.32,0.894,0
MARICOPA UNIFIED,California,3972,0.01,0.08,14.17,0.702,0
MARIPOSA COUNTY UNIFIED,California,1844,0.03,0.14,18.85,0.986,0
MARK WEST UNION ELEMENTARY,California,1475,0.12,0.1,22.87,0.871,0
MARTINEZ UNIFIED,California,4143,0.08,0.11,22.01,1.058,0
MARYSVILLE JOINT UNIFIED,California,9986,0.23,0.15,23.57,0.973,0
MCCABE UNION ELEMENTARY,California,1389,0.18,0.07,24.8,0.875,0
MCFARLAND UNIFIED,California,3570,0.42,0.08,24.14,1.219,0
MCKINLEYVILLE UNION ELEMENTARY,California,1151,0.03,0.22,20.6,1.138,0
MENDOTA UNIFIED,California,3339,0.66,0.06,23.18,0.895,0
MENIFEE UNION ELEMENTARY,California,11676,0.09,0.12,24.22,0.985,0
MENLO PARK CITY ELEMENTARY,California,2999,0.08,0.09,18.5,1.015,0
MERCED CITY ELEMENTARY,California,10902,0.24,0.11,25.64,1.046,0
MERCED COUNTY OFFICE OF EDUCATION,California,1169,0.22,0.03,13.39,0.959,0
MERCED UNION HIGH,California,10377,0.08,0.12,23.74,1.021,0
MERIDIAN ELEMENTARY,California,1090,0.03,0.11,18.84,0.966,0
MESA UNION ELEMENTARY,California,1276,0.09,0.08,26.14,0.751,0
MIDDLETOWN UNIFIED,California,1680,0.07,0.13,22.1,1.313,0
MILL VALLEY ELEMENTARY,California,3128,0.03,0.11,20.77,0.94,0
MILLBRAE ELEMENTARY,California,2432,0.26,0.1,26.54,1.003,0
MILPITAS UNIFIED,California,10260,0.25,0.09,23.51,1.254,0
MOJAVE UNIFIED,California,2735,0.14,0.16,20.23,0.948,0
MONROVIA UNIFIED,California,5616,0.13,0.13,22.94,0.969,0
MONTEBELLO UNIFIED,California,27398,0.33,0.13,26.81,1.015,0
MONTEREY COUNTY OFFICE OF EDUCATION,California,1897,0.17,0.07,16.29,1.011,0
MONTEREY PENINSULA UNIFIED,California,10732,0.29,0.11,20.02,0.964,0
MOORPARK UNIFIED,California,6472,0.16,0.14,22.77,1.012,0
MORAGA ELEMENTARY,California,1898,0.02,0.1,22.11,0.983,0
MORELAND,California,4780,0.28,0.11,22.86,1.081,0
MORENO VALLEY UNIFIED,California,33408,0.21,0.14,24.92,0.975,0
MORGAN HILL UNIFIED,California,9137,0.15,0.13,23.13,1.05,0
MORONGO UNIFIED,California,8466,0.05,0.15,23.66,1.025,0
MOTHER LODE UNION ELEMENTARY,California,1085,0.16,0.19,22.52,1.022,0
MOUNT PLEASANT ELEMENTARY,California,2371,0.47,0.16,22.85,1.078,0
MOUNTAIN EMPIRE UNIFIED,California,2784,0.19,0.14,17.12,0.932,0
MOUNTAIN VIEW ELEMENTARY,California,7052,0.58,0.12,23.99,0.999,0
MOUNTAIN VIEW ELEMENTARY,California,2558,0.17,0.13,26.01,0.809,0
MOUNTAIN VIEW WHISMAN,California,5125,0.26,0.1,22.61,1.165,0
MOUNTAIN VIEW-LOS ALTOS UNION HIGH,California,4101,0.08,0.12,19.59,1.017,0
MT. DIABLO UNIFIED,California,31814,0.23,0.13,22.24,1.012,0
MUROC JOINT UNIFIED,California,1881,0.03,0.11,20.49,0.942,0
MURRIETA VALLEY UNIFIED,California,22978,0.06,0.14,26.47,0.938,0
NAPA VALLEY UNIFIED,California,18224,0.23,0.12,22.43,1.044,0
NATIONAL ELEMENTARY,California,5928,0.52,0.11,23.41,1.047,0
NATOMAS UNIFIED,California,14631,0.13,0.11,21.78,0.982,0
NEVADA COUNTY OFFICE OF EDUCATION,California,3272,0,0.03,18.52,1.196,0
NEVADA JOINT UNION HIGH,California,2862,0.02,0.14,20.32,0.804,0
NEW HAVEN UNIFIED,California,11893,0.23,0.1,24.53,0.852,1
NEW JERUSALEM ELEMENTARY,California,4588,0.04,0.1,20.37,1.105,0
NEWARK UNIFIED,California,5845,0.23,0.12,27.2,0.903,0
NEWCASTLE ELEMENTARY,California,2257,0.01,0.09,21.96,1.002,0
NEWHALL,California,6706,0.27,0.13,24.58,1.167,0
NEWMAN-CROWS LANDING UNIFIED,California,3003,0.36,0.1,22.18,0.987,0
NEWPORT-MESA UNIFIED,California,21581,0.24,0.11,24.67,1.021,0
NORRIS ELEMENTARY,California,4098,0.03,0.08,25.13,1.262,0
NORTH MONTEREY COUNTY UNIFIED,California,4613,0.43,0.11,23.66,0.97,0
NORTHERN HUMBOLDT UNION HIGH,California,1739,0.01,0.19,18.3,1.111,0
NORWALK-LA MIRADA UNIFIED,California,18374,0.18,0.13,24.84,1.035,0
NOVATO UNIFIED,California,7869,0.16,0.12,21.14,0.841,0
NUVIEW UNION,California,2972,0.18,0.08,20.92,0.964,0
OAK GROVE ELEMENTARY,California,10362,0.29,0.13,25.37,1.017,0
OAK GROVE UNION ELEMENTARY,California,1139,0.06,0.05,16.99,1.004,0
OAK PARK UNIFIED,California,4584,0.05,0.08,23.86,1.149,0
OAKDALE JOINT UNIFIED,California,5277,0.11,0.12,23.25,1.049,0
OAKLAND UNIFIED,California,49760,0.24,0.13,20.48,0.983,1
OAKLEY UNION ELEMENTARY,California,5015,0.15,0.15,22.61,0.975,0
OCEAN VIEW,California,2641,0.68,0.1,24.01,0.906,0
OCEAN VIEW,California,8467,0.26,0.13,24.08,1.026,0
OCEANSIDE UNIFIED,California,20629,0.16,0.14,23.79,0.971,0
OJAI UNIFIED,California,2537,0.13,0.17,22.41,0.943,0
OLD ADOBE UNION,California,1992,0.25,0.16,24.87,1.159,0
ONTARIO-MONTCLAIR,California,21665,0.34,0.12,23.79,0.991,0
ORANGE COUNTY DEPARTMENT OF EDUCATION,California,6485,0.16,0.03,18.51,0.981,0
ORANGE UNIFIED,California,28522,0.24,0.12,24.72,0.971,0
ORCUTT UNION ELEMENTARY,California,5274,0.12,0.11,25.52,1.029,0
ORINDA UNION ELEMENTARY,California,2542,0.02,0.09,20.5,1.056,0
ORLAND JOINT UNIFIED,California,2201,0.26,0.15,20.69,0.952,0
ORO GRANDE ELEMENTARY,California,3822,0.11,0,21.86,0.823,0
OROVILLE CITY ELEMENTARY,California,2696,0.06,0.18,23.69,0.969,0
OROVILLE UNION HIGH,California,2162,0.04,0.13,21.1,0.905,0
OXNARD,California,16822,0.54,0.11,23.46,1.075,0
OXNARD UNION HIGH,California,17401,0.15,0.11,26.15,1.133,0
PACIFIC GROVE UNIFIED,California,2078,0.06,0.11,23.89,0.99,0
PACIFICA,California,3150,0.08,0.09,23.84,0.784,0
PAJARO VALLEY UNIFIED,California,20400,0.43,0.15,24.85,1.063,0
PALERMO UNION ELEMENTARY,California,1246,0.13,0.13,20.39,0.939,0
PALM SPRINGS UNIFIED,California,23087,0.33,0.11,24.23,1.024,0
PALMDALE ELEMENTARY,California,22412,0.23,0.13,24.84,1.058,0
PALO ALTO UNIFIED,California,12287,0.12,0.09,16.98,0.993,0
PALO VERDE UNIFIED,California,3096,0.12,0.11,24.63,0.951,0
PALOS VERDES PENINSULA UNIFIED,California,11428,0.08,0.08,25.49,1.013,0
PANAMA-BUENA VISTA UNION,California,17900,0.17,0.14,26.2,1.078,0
PARADISE UNIFIED,California,4258,0.02,0.14,21.36,0.969,0
PARAMOUNT UNIFIED,California,15405,0.35,0.11,24.36,0.942,0
PARLIER UNIFIED,California,3435,0.52,0.1,24.62,1.069,0
PASADENA UNIFIED,California,18410,0.17,0.14,26.11,1.102,0
PASO ROBLES JOINT UNIFIED,California,6814,0.19,0.13,24.88,0.969,0
PERRIS ELEMENTARY,California,5963,0.5,0.09,24.14,0.982,0
PERRIS UNION HIGH,California,10796,0.19,0.11,25.98,0.978,0
PIEDMONT CITY UNIFIED,California,2692,0.02,0.13,18.78,1.075,0
PIERCE JOINT UNIFIED,California,1480,0.33,0.11,22.66,0.918,0
PINER-OLIVET UNION ELEMENTARY,California,1422,0.24,0.1,23.33,0.951,0
PITTSBURG UNIFIED,California,11489,0.31,0.11,23.33,0.868,0
PIXLEY UNION ELEMENTARY,California,1106,0.6,0.08,22.34,1.074,0
PLACENTIA-YORBA LINDA UNIFIED,California,25798,0.16,0.11,26.24,0.974,0
PLACER UNION HIGH,California,4074,0.02,0.09,22.8,0.896,0
PLACERVILLE UNION ELEMENTARY,California,1293,0.15,0.14,22.84,0.987,0
PLEASANT RIDGE UNION ELEMENTARY,California,1178,0.01,0.13,21.42,1.004,0
PLEASANT VALLEY,California,7284,0.08,0.15,22.42,0.952,0
PLEASANTON UNIFIED,California,14778,0.1,0.09,24.27,0.899,0
PLUMAS LAKE ELEMENTARY,California,1272,0.07,0.11,20.52,0.991,0
PLUMAS UNIFIED,California,2133,0.04,0.13,20.51,1.051,0
POMONA UNIFIED,California,24314,0.28,0.12,22.07,0.977,0
PORTERVILLE UNIFIED,California,14368,0.28,0.06,24.88,0.978,0
POWAY UNIFIED,California,35956,0.12,0.12,25.01,1.047,0
RAMONA CITY UNIFIED,California,5546,0.15,0.15,24.91,1.029,0
RAVENSWOOD CITY ELEMENTARY,California,3853,0.51,0.14,21.52,0.895,0
RED BLUFF JOINT UNION HIGH,California,1630,0.03,0.12,18.83,1.043,0
REDDING ELEMENTARY,California,3219,0.03,0.14,22.74,1.025,0
REDLANDS UNIFIED,California,21395,0.09,0.13,24.32,0.887,0
REDONDO BEACH UNIFIED,California,9788,0.05,0.12,25.32,0.99,0
REDWOOD CITY ELEMENTARY,California,8987,0.33,0.14,23.1,0.76,0
REED UNION ELEMENTARY,California,1530,0.03,0.07,20.64,0.92,0
REEF-SUNSET UNIFIED,California,2650,0.56,0.1,24.77,0.93,0
RESCUE UNION ELEMENTARY,California,3720,0.05,0.13,23.37,1.049,0
RIALTO UNIFIED,California,25684,0.28,0.13,24.66,0.945,0
RICHLAND UNION ELEMENTARY,California,3466,0.45,0.11,21.23,0.947,0
RIM OF THE WORLD UNIFIED,California,3521,0.11,0.12,23.56,0.936,0
RINCON VALLEY UNION ELEMENTARY,California,3552,0.12,0.12,21.5,0.963,0
RIO BRAVO-GREELEY UNION ELEMENTARY,California,1033,0.15,0.07,22.96,0.975,0
RIO ELEMENTARY,California,5142,0.48,0.12,23.2,1.062,0
RIPON UNIFIED,California,4219,0.09,0.11,26.02,1.203,0
RIVER DELTA JOINT UNIFIED,California,2350,0.26,0.13,23.69,0.832,0
RIVERBANK UNIFIED,California,2875,0.43,0.1,22.18,0.919,0
RIVERDALE JOINT UNIFIED,California,1631,0.36,0.1,20.45,0.896,0
RIVERSIDE COUNTY OFFICE OF EDUCATION,California,8520,0.05,0.1,21.29,0.985,0
RIVERSIDE UNIFIED,California,42769,0.17,0.12,24.6,0.944,0
ROBLA ELEMENTARY,California,2284,0.41,0.13,25.45,0.949,0
ROCKLIN UNIFIED,California,13253,0.03,0.11,22.77,0.942,0
ROMOLAND ELEMENTARY,California,3832,0.22,0.13,24.68,1.084,0
ROSEDALE UNION ELEMENTARY,California,5619,0.05,0.11,22.14,1.012,0
ROSELAND,California,2852,0.55,0.13,23.19,0.974,0
ROSEMEAD ELEMENTARY,California,2511,0.42,0.11,21.76,1.048,0
ROSEVILLE CITY ELEMENTARY,California,10554,0.11,0.13,24.35,0.953,0
ROSEVILLE JOINT UNION HIGH,California,10204,0.03,0.07,23.26,0.933,0
ROSS VALLEY ELEMENTARY,California,2233,0.03,0.1,20.7,0.916,0
ROWLAND UNIFIED,California,14274,0.26,0.1,24.47,1.027,0
SACRAMENTO CITY UNIFIED,California,46815,0.19,0.14,23.18,0.996,0
SACRAMENTO COUNTY OFFICE OF EDUCATION,California,2214,0.05,0.06,17.38,0.95,0
SADDLEBACK VALLEY UNIFIED,California,27803,0.17,0.13,25.84,1.005,0
SAINT HELENA UNIFIED,California,1199,0.23,0.09,16.39,1.012,0
SALIDA UNION ELEMENTARY,California,3282,0.25,0.11,24.94,0.912,0
SALINAS CITY ELEMENTARY,California,9023,0.53,0.11,25.13,1.012,0
SALINAS UNION HIGH,California,15040,0.25,0.1,23.78,0.965,0
SAN BENITO HIGH,California,3043,0.14,0.11,28.47,1.049,0
SAN BERNARDINO CITY UNIFIED,California,53152,0.26,0.12,24.41,1.052,0
SAN BERNARDINO COUNTY OFFICE OF EDUCATION,California,3438,0.1,0,14.68,0.997,0
SAN BRUNO PARK ELEMENTARY,California,2669,0.32,0.12,26.88,1.034,0
SAN CARLOS ELEMENTARY,California,3516,0.09,0.09,21.1,1.183,0
SAN DIEGO COUNTY OFFICE OF EDUCATION,California,3137,0.16,0.04,14.98,0.904,0
SAN DIEGO UNIFIED,California,128040,0.2,0.14,22.83,1.017,0
SAN DIEGUITO UNION HIGH,California,12951,0.04,0.1,25.01,1.415,0
SAN FRANCISCO UNIFIED,California,60133,0.25,0.12,21.27,1.098,0
SAN GABRIEL UNIFIED,California,6302,0.24,0.1,21.6,0.998,0
SAN JACINTO UNIFIED,California,11220,0.2,0.13,24.68,0.962,0
SAN JOAQUIN COUNTY OFFICE OF EDUCATION,California,4343,0.11,0.04,18.81,0.943,0
SAN JOSE UNIFIED,California,32004,0.2,0.12,22.66,0.906,0
SAN JUAN UNIFIED,California,49255,0.11,0.13,24.51,0.99,0
SAN LEANDRO UNIFIED,California,8638,0.29,0.14,23.74,1.258,0
SAN LORENZO UNIFIED,California,11739,0.26,0.11,22.7,1.02,0
SAN LORENZO VALLEY UNIFIED,California,4921,0.01,0.11,24.31,0.838,0
SAN LUIS COASTAL UNIFIED,California,7718,0.12,0.12,22.54,1.069,0
SAN MARCOS UNIFIED,California,20970,0.17,0.13,24.65,1.124,0
SAN MARINO UNIFIED,California,3074,0.12,0.08,20.49,1.063,0
SAN MATEO UNION HIGH,California,9104,0.11,0.1,20.43,0.988,0
SAN MATEO-FOSTER CITY,California,11970,0.26,0.08,23.24,0.781,0
SAN RAFAEL CITY ELEMENTARY,California,4758,0.51,0.11,27.33,0.757,0
SAN RAFAEL CITY HIGH,California,2519,0.21,0.12,23.5,0.941,0
SAN RAMON VALLEY UNIFIED,California,32425,0.05,0.09,24.06,1.038,0
SAN YSIDRO ELEMENTARY,California,4815,0.63,0.13,25.5,1.042,0
SANGER UNIFIED,California,11722,0.18,0.08,23.22,1.07,0
SANTA ANA UNIFIED,California,54505,0.38,0.12,25.13,0.989,0
SANTA BARBARA UNIFIED,California,15185,0.24,0.13,25.15,1.079,0
SANTA CLARA COUNTY OFFICE OF EDUCATION,California,11357,0.05,0.07,20.77,0.658,0
SANTA CLARA UNIFIED,California,15409,0.25,0.14,23.36,0.935,0
SANTA MARIA JOINT UNION HIGH,California,7858,0.24,0.1,23.96,1.079,0
SANTA MARIA-BONITA,California,16868,0.62,0.09,23.9,1.045,0
SANTA MONICA-MALIBU UNIFIED,California,11005,0.08,0.11,22.16,1.037,0
SANTA PAULA UNIFIED,California,5454,0.38,0.15,22.46,1.077,0
SANTA RITA UNION ELEMENTARY,California,3519,0.41,0.1,25.08,0.937,0
SANTEE,California,6761,0.09,0.13,25.82,0.902,0
SARATOGA UNION ELEMENTARY,California,1906,0.06,0.12,19.71,0.913,0
SAUGUS UNION,California,9900,0.12,0.14,25.92,1.051,0
SAVANNA ELEMENTARY,California,2331,0.42,0.14,23.31,1.154,0
SCOTTS VALLEY UNIFIED,California,2505,0.02,0.1,22.66,0.971,0
SELMA UNIFIED,California,6459,0.26,0.12,23.16,0.99,0
SEQUOIA UNION HIGH,California,9911,0.13,0.11,19.94,1.084,0
SHASTA UNION HIGH,California,5731,0.01,0.09,22.23,1.004,0
SIERRA SANDS UNIFIED,California,5020,0.08,0.13,22.67,0.939,0
SIERRA UNIFIED,California,1323,0.01,0.13,20.29,0.934,0
SILVER VALLEY UNIFIED,California,2168,0.07,0.14,17.91,1.251,0
SIMI VALLEY UNIFIED,California,17149,0.11,0.13,25.39,1.011,0
SNOWLINE JOINT UNIFIED,California,7648,0.11,0.15,23.04,0.993,0
SOLANA BEACH ELEMENTARY,California,3012,0.13,0.11,22.13,1.04,0
SOLEDAD UNIFIED,California,4856,0.42,0.13,24.85,1,0
SONOMA VALLEY UNIFIED,California,4564,0.32,0.15,20.31,1.025,0
SONORA UNION HIGH,California,1068,0.01,0.15,22.49,1.281,0
SOQUEL UNION ELEMENTARY,California,1981,0.11,0.13,24.54,0.968,0
SOUTH BAY UNION,California,7377,0.5,0.13,24.07,1.015,0
SOUTH MONTEREY COUNTY JOINT UNION HIGH,California,2273,0.24,0.13,26.54,0.826,0
SOUTH PASADENA UNIFIED,California,4779,0.07,0.08,23.95,0.996,0
SOUTH SAN FRANCISCO UNIFIED,California,8879,0.25,0.13,22.72,1.289,0
SOUTH WHITTIER ELEMENTARY,California,2918,0.45,0.16,23.14,0.978,0
SOUTHERN KERN UNIFIED,California,3406,0.17,0.15,22.25,1.133,0
SPENCER VALLEY ELEMENTARY,California,2276,0,0.12,20.89,0.881,0
STANDARD ELEMENTARY,California,3130,0.06,0.12,22.28,1.215,0
STANISLAUS COUNTY OFFICE OF EDUCATION,California,2381,0.11,0.01,17.8,1.017,0
STANISLAUS UNION ELEMENTARY,California,3458,0.23,0.11,25.1,0.985,0
STOCKTON UNIFIED,California,40984,0.25,0.1,28.59,0.965,0
SULPHUR SPRINGS UNION,California,5370,0.22,0.14,26.6,1.082,0
SUNNYVALE,California,6536,0.32,0.11,21.89,1.064,0
SUSANVILLE ELEMENTARY,California,1096,0.06,0.12,23.55,0.96,0
SWEETWATER UNION HIGH,California,40671,0.22,0.13,23.55,0.979,0
SYLVAN UNION ELEMENTARY,California,8399,0.15,0.16,27.08,0.932,0
TAFT CITY,California,2216,0.39,0.14,22.18,0.948,0
TAFT UNION HIGH,California,1034,0.07,0.11,14.07,0.714,0
TAHOE-TRUCKEE UNIFIED,California,4153,0.17,0.12,20.15,0.932,0
TAMALPAIS UNION HIGH,California,4693,0.02,0.11,18.16,0.938,0
TEHACHAPI UNIFIED,California,4396,0.07,0.13,27.94,0.927,0
TEMECULA VALLEY UNIFIED,California,29917,0.06,0.13,24.63,0.96,0
TEMPLE CITY UNIFIED,California,5884,0.2,0.09,24.09,1.04,0
TEMPLETON UNIFIED,California,2388,0.05,0.07,22.32,1.198,0
THERMALITO UNION ELEMENTARY,California,1493,0.18,0.11,23.17,0.98,0
TORRANCE UNIFIED,California,23696,0.16,0.12,25.04,1.112,0
TRACY JOINT UNIFIED,California,16426,0.26,0.12,23.38,0.944,0
TRAVIS UNIFIED,California,5564,0.04,0.12,24.99,0.992,0
TULARE CITY,California,9565,0.26,0.08,23.31,1.038,0
TULARE COUNTY OFFICE OF EDUCATION,California,2595,0.1,0.05,15.52,1.073,0
TULARE JOINT UNION HIGH,California,5486,0.14,0.08,24.05,0.99,0
TURLOCK UNIFIED,California,14201,0.27,0.11,23.52,0.956,0
TUSTIN UNIFIED,California,24130,0.19,0.09,27.29,0.973,0
TWIN HILLS UNION ELEMENTARY,California,1252,0.03,0.08,21.85,0.966,0
TWIN RIVERS UNIFIED,California,31979,0.23,0.14,23.89,1.013,0
UKIAH UNIFIED,California,6579,0.26,0.12,22.22,1.055,0
UNION ELEMENTARY,California,5751,0.12,0.11,23.9,0.889,0
UPLAND UNIFIED,California,11028,0.1,0.14,23.72,0.923,0
VACAVILLE UNIFIED,California,12952,0.09,0.12,23.21,0.979,0
VAL VERDE UNIFIED,California,19953,0.21,0.11,25.32,1.156,0
VALLE LINDO ELEMENTARY,California,1117,0.14,0.07,21.08,0.994,0
VALLEJO CITY UNIFIED,California,14554,0.18,0.11,24.79,0.957,0
VALLEY CENTER-PAUMA UNIFIED,California,4069,0.24,0.14,22.88,1.003,0
VENTURA COUNTY OFFICE OF EDUCATION,California,3182,0.07,0.09,15.5,1.007,0
VENTURA UNIFIED,California,16981,0.17,0.11,24.61,0.98,0
VICTOR ELEMENTARY,California,12751,0.18,0.12,26.26,0.967,0
VICTOR VALLEY UNION HIGH,California,14043,0.07,0.12,25.89,0.929,0
VISALIA UNIFIED,California,28932,0.14,0.1,24.97,1.002,0
VISTA UNIFIED,California,25149,0.18,0.13,22.11,0.97,0
WALNUT CREEK ELEMENTARY,California,3589,0.1,0.11,22.42,0.913,0
WALNUT VALLEY UNIFIED,California,14519,0.12,0.08,25.29,1.041,0
WARNER UNIFIED,California,1733,0.02,0.07,14.19,0.903,0
WASCO UNION ELEMENTARY,California,3610,0.41,0.08,22.42,0.953,0
WASCO UNION HIGH,California,1855,0.18,0.07,23.08,1.056,0
WASHINGTON UNIFIED,California,2998,0.4,0.1,21.09,1.335,0
WASHINGTON UNIFIED,California,8083,0.19,0.11,22.4,0.954,0
WATERFORD UNIFIED,California,3989,0.14,0.11,22.85,0.973,0
WEAVER UNION,California,2866,0.36,0.1,23.91,0.928,0
WEST CONTRA COSTA UNIFIED,California,31267,0.31,0.14,23.27,1.284,0
WEST COVINA UNIFIED,California,12825,0.07,0.1,22.16,0.948,0
WEST SONOMA COUNTY UNION HIGH,California,1944,0.03,0.13,20.15,1.038,0
WESTERN PLACER UNIFIED,California,9020,0.07,0.11,20.06,0.988,0
WESTMINSTER,California,9338,0.44,0.11,23.7,1.029,0
WESTSIDE ELEMENTARY,California,1181,0.17,0.09,21.33,0.939,0
WESTSIDE UNION ELEMENTARY,California,9302,0.07,0.12,27.13,1.089,0
WHEATLAND,California,1334,0.05,0.12,20.52,0.991,0
WHITTIER CITY ELEMENTARY,California,6075,0.19,0.16,24.7,1.047,0
WHITTIER UNION HIGH,California,12120,0.09,0.12,25.89,1.095,0
WILLIAM S. HART UNION HIGH,California,26822,0.08,0.13,23.11,0.998,0
WILLIAMS UNIFIED,California,1382,0.49,0.11,22.04,1.005,0
WILLITS UNIFIED,California,1884,0.12,0.13,19.97,0.909,0
WILLOWS UNIFIED,California,1424,0.26,0.15,22.78,1.02,0
WILSONA ELEMENTARY,California,1315,0.3,0.14,23.76,0.909,0
WINDSOR UNIFIED,California,5225,0.19,0.16,21.29,0.925,0
WINTERS JOINT UNIFIED,California,1555,0.36,0.14,21.92,0.95,0
WINTON,California,1942,0.51,0.13,23.15,0.991,0
WOODLAKE UNIFIED,California,2192,0.31,0.07,20.65,1.008,0
WOODLAND JOINT UNIFIED,California,10083,0.26,0.14,22.45,0.925,0
WRIGHT ELEMENTARY,California,1593,0.46,0.15,23.46,1.042,0
YOSEMITE UNIFIED,California,2188,0.01,0.15,21.12,0.99,0
YUBA CITY UNIFIED,California,13284,0.23,0.13,20.94,0.958,0
